code_name,name,buy,sell,market_cap,volume,change
BTC,Bitcoin,15198.61,15090.32,280600000000.0,4400000000.0,0.39%
ETH,Ethereum,504.63,492.83,56700000000.0,2100000000.0,-0.57%
XRP,XRP (Ripple),0.358785,0.349965,15800000000.0,282300000.0,-0.01%
BNB,BNB,40.69,39.70,5800000000.0,228300000.0,-2.03%
BCH,Bitcoin Cash,316.61,308.88,5700000000.0,329400000.0,-0.50%
DOT,Polkadot,5.9304,5.7833,5300000000.0,147300000.0,-1.65%
LINK,ChainLink,13.7056,13.3658,4700000000.0,394200000.0,0.21%
CRO,Crypto.com Coin (CRO),0.214876,0.208772,4300000000.0,72700000.0,0.37%
ADA,Cardano,0.139046,0.135310,4200000000.0,129600000.0,-1.57%
BSV,Bitcoin SV,230.87,224.63,4200000000.0,149200000.0,-1.48%
LTC,Litecoin,66.13,64.50,4200000000.0,326300000.0,-1.44%
USDC,USD Coin,1.419641,1.404619,3700000000.0,62900000.0,-0.13%
EOS,EOS,3.6129,3.5253,3300000000.0,227200000.0,-0.52%
USDT,Tether USD,1.420218,1.406087,2800000000.0,5600000000.0,-0.14%
TRX,TRON,0.037839,0.036807,2600000000.0,236500000.0,-1.22%
XTZ,Tezos,3.0587,2.9794,2300000000.0,59500000.0,0.37%
XLM,Stellar,0.104703,0.101822,2100000000.0,66900000.00000001,-0.36%
NEO,Neo,25.37,24.65,1700000000.0,132300000.00000001,-2.36%
XEM,NEM,0.175518,0.170004,1500000000.0,29100000.0,1.96%
ATOM,Cosmos,7.6708,7.4641,1500000000.0,81000000.0,-0.21%
MIOTA,IOTA,0.386899,0.376061,1000000000.0,14400000.0,-3.64%
VET,VeChainThor,0.016412,0.015990,1000000000.0,41600000.0,-3.22%
YFI,yearn.finance,27243.02,26435.42,1000000000.0,340100000.0,0.09%
ZEC,Zcash,93.73,91.29,958500000.0,161800000.0,3.79%
LEND,Aave,0.733071,0.714411,943000000.0,96300000.0,-5.23%
DASH,Dash,96.57,94.10,911100000.0,53400000.0,1.03%
THETA,Theta,1.059032,1.029983,897200000.0,67099999.99999999,-3.84%
ETC,Ethereum Classic,7.37,7.10,881900000.0,79500000.0,-1.94%
OMG,OMG Network,5.3863,5.2368,742400000.0,175300000.0,1.35%
MKR,Maker,808.95,788.61,731500000.0,20600000.0,0.45%
ONT,Ontology,0.8528,0.8286,635300000.0,40600000.0,-1.23%
SNX,Synthetix,5.8697,5.7225,597700000.0,14100000.0,-8.53%
UNI,Uniswap,4.72,4.59,581400000.0,159500000.0,-12.84%
ALGO,Algorand,0.455130,0.443188,497500000.0,52600000.0,0.40%
DGB,DigiByte,0.036927,0.035449,485600000.0,13500000.0,-3.58%
COMP,Compound,175.47,170.50,485600000.0,20800000.0,-0.24%
FTT,FTX Token,5.0554,4.9345,465100000.0,8400000.0,-1.02%
DOGE,Dogecoin,0.003799,0.003469,461500000.0,14800000.0,0.37%
BTT,BitTorrent,0.000472,0.000456,454000000.0,59800000.0,-1.94%
BAT,Basic Attention Token,0.317147,0.308029,453900000.0,16300000.0,-1.93%
KSM,Kusama,45.66,44.31,419400000.0,14200000.0,-1.40%
ZRX,0x,0.535519,0.519366,389800000.0,27500000.0,-1.12%
EWT,Energy Web Token,10.3750,9.8477,370200000.0,1100000.0,-3.10%
WAVES,Waves,3.3590,3.2560,338800000.0,53500000.0,-2.06%
ICX,ICON,0.566367,0.543350,314700000.0,25300000.0,-2.83%
QTUM,Qtum,3.2820,3.1928,311700000.0,50300000.0,-1.12%
LRC,Loopring,0.272926,0.265641,301500000.0,11800000.0,-5.51%
REN,REN,0.347388,0.336841,301400000.0,47700000.0,-11.10%
ZIL,Zilliqa,0.029481,0.028661,300300000.0,74200000.0,-0.65%
KNC,Kyber,1.3101,1.2792,255600000.0,21600000.0,-2.67%
HBAR,Hedera Hashgraph,0.045285,0.042991,238800000.0,3400000.0,0.70%
REP,Augur v2,20.10,19.33,213700000.0,3700000.0,0.68%
LSK,Lisk,1.5871,1.5370,194500000.0,2600000.0,-1.64%
DCR,Decred,16.49,15.94,192400000.0,975900.02,0.27%
BTG,Bitcoin Gold,11.25,10.92,191300000.0,2000000.0,-0.72%
BAND,Band Protocol,8.4027,8.1952,189000000.0,48400000.0,-3.31%
OCEAN,Ocean Protocol,0.452395,0.438210,181300000.0,9400000.0,-8.01%
ENJ,Enjin Coin,0.221715,0.215108,177400000.0,5100000.0,0.44%
MANA,Decentraland,0.110477,0.106347,176400000.0,14400000.0,-0.46%
SC,Siacoin,0.004103,0.003922,176100000.0,3800000.0,0.37%
REV,Revain,0.015500,0.014029,168000000.0,-1.40,-3.46%
SOL,Solana,3.7673,3.6651,164000000.0,8300000.000000001,3.23%
